cntntsNo(식물번호)    cntntsSj(식물명)                                                                                                                                                        
16248    제라니움                                                                                                                                                        
16242    좀마삭줄                                                                                                                                                        
16036    종려방동사니                                                                                                                                                        
16035    종려죽                                                                                                                                                        
16033    죽백나무                                                                                                                                                        
15834    줄리아 페페로미아                                                                                                                                                        
12991    참쇠고비(섬쇠고비)                                                                                                                                                        
12989    치자나무                                                                                                                                                        
15829    칼라데아 마코야나                                                                                                                                                        
14918    칼라데아 인시그니스                                                                                                                                                        
14917    칼라데아 크로카타                                                                                                                                                        
14914    칼라디움                                                                                                                                                        
13319    칼랑코에                                                                                                                                                        
13317    커피나무                                                                                                                                                        
13318    켄챠야자                                                                                                                                                        
13309    코르딜리네 레드에지                                                                                                                                                        
13260    크로톤                                                                                                                                                        
13261    크로톤                                                                                                                                                        
13257    크립탄서스                                                                                                                                                        
13255    클레마티스                                                                                                                                                        
12996    털달개비                                                                                                                                                        
13001    털머위                                                                                                                                                        
13002    테이블야자                                                                                                                                                        
13003    톨미아                                                                                                                                                        
13004    틸란드시아                                                                                                                                                        
13248    파키라                                                                                                                                                        
13247    파피오페딜럼                                                                                                                                                        
13245    팔레놉시스(호접란)                                                                                                                                                        
13244    팔손이나무                                                                                                                                                        
13242    팬더 고무나무                                                                                                                                                        
13253    팻츠헤데라                                                                                                                                                        
13240    페페로미아 오브투시폴리아                                                                                                                                                        
13216    페페로미아 클루시폴리아                                                                                                                                                        
13215    페페로미아 푸테올라타                                                                                                                                                        
13214    포인세티아                                                                                                                                                        
13213    폴리시아스                                                                                                                                                        
13212    푸밀라고무나무                                                                                                                                                        
13211    프테리스                                                                                                                                                        
13209    피라칸사                                                                                                                                                        
13251    피토니아 핑크스타                                                                                                                                                        
13197    피토니아 화이트스타                                                                                                                                                        
13194    픽투라툼 접란                                                                                                                                                        
13193    필레아 글라우카(타라, 블루체인)                                                                                                                                                        
13190    필로덴드론 *선라이트*                                                                                                                                                        
13187    필로덴드론 *제나두*                                                                                                                                                        
13192    필로덴드론 고엘디                                                                                                                                                        
13191    필로덴드론 레몬라임                                                                                                                                                        
13189    필로덴드론 셀로움                                                                                                                                                        
13188    필로덴드론 옥시카르디움                                                                                                                                                        
13249    필로덴드론 콩고                                                                                                                                                        
12987    해마리아                                                                                                                                                        
12983    행운목                                                                                                                                                        
12981    헤미오니티스(하트펀)                                                                                                                                                        
12979    헤테로파낙스 프라그란스 (해피트리)                                                                                                                                                        
12978    협죽도                                                                                                                                                        
12976    형광스킨답서스                                                                                                                                                        
12986    호야                                                                                                                                                        
12975    호야 엑소티카                                                                                                                                                        
12973    호주매                                                                                                                                                        
12971    홀리아페페로미아                                                                                                                                                        
12937    황금마삭줄                                                                                                                                                        
12932    황금죽                                                                                                                                                        
12956    후피향나무                                                                                                                                                        
12920    흰꽃나도사프란                                                                                                                                                        
12919    흰줄무늬달개비(트라데스칸티아)                                                                                                                                                        
12901    히포에스테스                                                                                                                                                        
